VannforekomstID	Vannforekomstnavn	Vanntype	Nasjonal vanntype	Interkalibreringstype	Økoregion kyst	Kysttype	Salinitet	Tidevann	Bølgeeksponering	Miksing i vannsøylen	Oppholdstid	Strømhastighet	Påvirkningstype	Påvirkningsgrad	Økologisk tilstand	Økologisk potensial	Kjemisk tilstand	Økologisk tilstand miljømål	Økologisk potensial miljømål	Kjemisk miljømål	Vannregionkoordinator	Vannregion	Vannområde	VassdragsområdeID	Vassdragsområde	Endret dato	Kommunenummer	Kommunenavn
0101000030-1-C	Torbjørnskjær	CS1721112	S1	CW-NEA10	Skagerak	Åpen eksponert kyst	Skagerak (> 25)	Liten (< 1 m)	Høy	Blandet	Kort (dager)	Moderat (1 - 3 knop)	Diffus avrenning fra fritidsbåter	Liten grad	Moderat	Ikke relevant	Dårlig	God	Udefinert	God	Viken FK	Innlandet og Viken	Glomma sør for Øyeren	2	GLOMMAVASSDRAGET/HVALER OG SINGLEFJORDEN	10/28/2019 10:10:30 AM	2311,3004,3011,3811,SE	Sokkelen sør for 62g, Fredrikstad, Hvaler, Færder, Sverige
0101000030-1-C	Torbjørnskjær	CS1721112	S1	CW-NEA10	Skagerak	Åpen eksponert kyst	Skagerak (> 25)	Liten (< 1 m)	Høy	Blandet	Kort (dager)	Moderat (1 - 3 knop)	Diffus avrenning fra fulldyrket mark	Liten grad	Moderat	Ikke relevant	Dårlig	God	Udefinert	God	Viken FK	Innlandet og Viken	Glomma sør for Øyeren	2	GLOMMAVASSDRAGET/HVALER OG SINGLEFJORDEN	10/28/2019 10:10:30 AM	2311,3004,3011,3811,SE	Sokkelen sør for 62g, Fredrikstad, Hvaler, Færder, Sverige
0101000030-1-C	Torbjørnskjær	CS1721112	S1	CW-NEA10	Skagerak	Åpen eksponert kyst	Skagerak (> 25)	Liten (< 1 m)	Høy	Blandet	Kort (dager)	Moderat (1 - 3 knop)	Diffus avrenning og utslipp fra transport/infrastruktur	Liten grad	Moderat	Ikke relevant	Dårlig	God	Udefinert	God	Viken FK	Innlandet og Viken	Glomma sør for Øyeren	2	GLOMMAVASSDRAGET/HVALER OG SINGLEFJORDEN	10/28/2019 10:10:30 AM	2311,3004,3011,3811,SE	Sokkelen sør for 62g, Fredrikstad, Hvaler, Færder, Sverige
0101000030-1-C	Torbjørnskjær	CS1721112	S1	CW-NEA10	Skagerak	Åpen eksponert kyst	Skagerak (> 25)	Liten (< 1 m)	Høy	Blandet	Kort (dager)	Moderat (1 - 3 knop)	Diffus avrenning fra industrier	Liten grad	Moderat	Ikke relevant	Dårlig	God	Udefinert	God	Viken FK	Innlandet og Viken	Glomma sør for Øyeren	2	GLOMMAVASSDRAGET/HVALER OG SINGLEFJORDEN	10/28/2019 10:10:30 AM	2311,3004,3011,3811,SE	Sokkelen sør for 62g, Fredrikstad, Hvaler, Færder, Sverige
0101000030-1-C	Torbjørnskjær	CS1721112	S1	CW-NEA10	Skagerak	Åpen eksponert kyst	Skagerak (> 25)	Liten (< 1 m)	Høy	Blandet	Kort (dager)	Moderat (1 - 3 knop)	Diffus annen langtransportert forurensning	Middels grad	Moderat	Ikke relevant	Dårlig	God	Udefinert	God	Viken FK	Innlandet og Viken	Glomma sør for Øyeren	2	GLOMMAVASSDRAGET/HVALER OG SINGLEFJORDEN	10/28/2019 10:10:30 AM	2311,3004,3011,3811,SE	Sokkelen sør for 62g, Fredrikstad, Hvaler, Færder, Sverige
0101000030-1-C	Torbjørnskjær	CS1721112	S1	CW-NEA10	Skagerak	Åpen eksponert kyst	Skagerak (> 25)	Liten (< 1 m)	Høy	Blandet	Kort (dager)	Moderat (1 - 3 knop)	Forsøpling eller ulovlige søppeltipper	Middels grad	Moderat	Ikke relevant	Dårlig	God	Udefinert	God	Viken FK	Innlandet og Viken	Glomma sør for Øyeren	2	GLOMMAVASSDRAGET/HVALER OG SINGLEFJORDEN	10/28/2019 10:10:30 AM	2311,3004,3011,3811,SE	Sokkelen sør for 62g, Fredrikstad, Hvaler, Færder, Sverige
0101000030-2-C	Færder	CS1721112	S1	CW-NEA10	Skagerak	Åpen eksponert kyst	Skagerak (> 25)	Liten (< 1 m)	Høy	Blandet	Kort (dager)	Moderat (1 - 3 knop)	Introduserte art - stillehavsøsters	Ukjent grad	Moderat	Ikke relevant	Dårlig	God	Udefinert	God	Vestfold og Telemark FK	Vestfold og Telemark	Horten - Larvik	14	AULIVASSDRAGET/KYST TØNSBERG-SANDEFJORD	06.04.2020 13:36	3004,3011,3804,3805,3811	Fredrikstad, Hvaler, Sandefjord, Larvik, Færder
0101000030-2-C	Færder	CS1721112	S1	CW-NEA10	Skagerak	Åpen eksponert kyst	Skagerak (> 25)	Liten (< 1 m)	Høy	Blandet	Kort (dager)	Moderat (1 - 3 knop)	Diffus annen langtransportert forurensning	Middels grad	Moderat	Ikke relevant	Dårlig	God	Udefinert	God	Vestfold og Telemark FK	Vestfold og Telemark	Horten - Larvik	14	AULIVASSDRAGET/KYST TØNSBERG-SANDEFJORD	06.04.2020 13:36	3004,3011,3804,3805,3811	Fredrikstad, Hvaler, Sandefjord, Larvik, Færder
0101000030-2-C	Færder	CS1721112	S1	CW-NEA10	Skagerak	Åpen eksponert kyst	Skagerak (> 25)	Liten (< 1 m)	Høy	Blandet	Kort (dager)	Moderat (1 - 3 knop)	Diffus avrenning fra nedlagt industriområde	Liten grad	Moderat	Ikke relevant	Dårlig	God	Udefinert	God	Vestfold og Telemark FK	Vestfold og Telemark	Horten - Larvik	14	AULIVASSDRAGET/KYST TØNSBERG-SANDEFJORD	06.04.2020 13:36	3004,3011,3804,3805,3811	Fredrikstad, Hvaler, Sandefjord, Larvik, Færder
0101000030-2-C	Færder	CS1721112	S1	CW-NEA10	Skagerak	Åpen eksponert kyst	Skagerak (> 25)	Liten (< 1 m)	Høy	Blandet	Kort (dager)	Moderat (1 - 3 knop)	Diffus avrenning fra fulldyrket mark	Liten grad	Moderat	Ikke relevant	Dårlig	God	Udefinert	God	Vestfold og Telemark FK	Vestfold og Telemark	Horten - Larvik	14	AULIVASSDRAGET/KYST TØNSBERG-SANDEFJORD	06.04.2020 13:36	3004,3011,3804,3805,3811	Fredrikstad, Hvaler, Sandefjord, Larvik, Færder
