eksport;api;nytt
Registrerings_id;Result.WaterRegistrationID;regid
n02;Result.WaterLocationID;lokid
Vannlok_kode;Result.WaterLocationCode;lokkod
n04;Result.Name;n04
n05;Result.Name_Alternative;n05
n06;Result.SourceID;n06
Aktivitet_id;Result.ActivityID;aktid
n08;Result.ActivityName;n08
Oppdragsgiver;Result.Employer;oppdrg
Oppdragstaker;Result.Contractor;oppdrt
Parameter_id;Result.ParameterID;parid
n12;Result.ParameterName;n12
n13;Result.CASnr;n13
n14;Result.QualityElementID;n14
n15;Result.QualityElementTypeID;n15
Medium_id;Result.MediumID;medium
LatinskNavn_id;Result.LatinskNavnID;navnid
VitenskapligNavn;Result.VitenskapligNavn;vitnavn
n19;Result.MediumName;n19
Provetakmetode_id;Result.SamplingMethodID;provmet
n21;Result.SamplingMethodName;n21
Analysemetode_id;Result.AnalysisMethodID;analmet
n23;Result.AnalysisMethodName;n23
Tid_provetak;Result.SamplingTime;tidpkt
Ovre_dyp;Result.UpperDepth;odyp
Nedre_dyp;Result.LowerDepth;ndyp
DybdeEnhet;n27;dypenh
Filtrert_Prove;Result.FilteredSample;filt
UnntasKlassifisering;n29;unntas
Operator;Result.ValueOperator;operator
Verdi;Result.RegValue;verdi
n32;Result.ListName;n32
Enhet_id;Result.UnitID;enhet
n34;Result.Unit;n34
Provenr;Result.SampleID;provnr
Deteksjonsgrense;Result.DetectionLimit;detgr
Kvantifiseringsgrense;Result.QuantificationLimit;kvantgr
Opprinnelse;Result.Origin;n38
Ant_verdier;Result.NumberOfValues;antverdi
Kommentar;Result.Comment;n40
n41;Result.Username;n41
n42;Result.RegDate;n42
n43;Result.LastEditDate;n43
Arkiv_id;Result.Archive;n44
ID_lokal;Result.FeatureType;n45
n46;Result.WaterCategory;n46
n47;Result.FylkeID;n47
n48;Result.Fylke;n48
n49;Result.KommuneID;n49
n50;Result.Kommune;n50
n51;Result.VassdragsomradeID;n51
n52;Result.Vassdragsomrade;n52
n53;Result.VannomradeID;n53
n54;Result.Vannomrade;n54
n55;Result.VannregionID;n55
n56;Result.Vannregion;n56
n57;Result.WaterType;n57
n58;Result.WaterBodyID;n58
n59;Result.WaterBody;n59
n60;Result.CoordX;n60
n61;Result.CoordY;n61
Produktbeskrivelse;ResultCount;n62
